product_id,product_name,category,brand,cost_price,selling_price,supplier_id
1,Television,Groceries,Conner LLC,145.67,12.53,10
2,Culture,Electronics,"Young, Calhoun and Newman",120.3,192.71,12
3,Degree,Furniture,"Thompson, Morgan and Martinez",198.01,175.69,8
4,South,Electronics,Horn-Juarez,119.77,228.17,50
5,Possible,Groceries,Gallegos-Greer,97.82,243.84,5
6,Argue,Furniture,Sheppard-Morse,198.84,50.02,32
7,Improve,Furniture,"Mitchell, Jones and Walters",155.92,161.04,27
8,Discussion,Furniture,"Hess, Hernandez and Reyes",93.25,124.51,6
9,Soldier,Groceries,"Tapia, Solis and Ray",76.69,222.8,43
10,Show,Furniture,Reyes LLC,165.51,67.12,20
11,Threat,Groceries,Perry Ltd,46.37,44.05,35
12,Available,Furniture,"King, Allen and Torres",161.55,58.62,12
13,Whatever,Furniture,"Green, Wilcox and Sanchez",138.43,85.94,47
14,Employee,Furniture,Whitaker-King,168.76,131.66,18
15,Crime,Furniture,"Ward, Nguyen and Terrell",61.43,49.38,23
16,Worry,Toys,"Bass, Carter and Strickland",114.16,53.5,49
17,North,Groceries,Jones-Fields,68.86,32.39,2
18,Fly,Electronics,"Anderson, Perez and Clark",93.53,113.47,10
19,Report,Furniture,Welch-Flores,152.16,35.64,30
20,Any,Toys,Lee-Hanna,55.33,118.54,2
21,Base,Clothing,Cordova PLC,62.69,179.99,18
22,Prove,Toys,"Galvan, Solis and Brown",46.18,74.06,37
23,Letter,Electronics,Sims Ltd,71.11,37.79,22
24,Discuss,Furniture,Sherman-Fletcher,48.73,206.01,3
25,College,Groceries,Duarte Inc,101.41,231.75,33
26,Assume,Groceries,Wiley-Barnes,118.38,191.03,21
27,Quite,Electronics,"Kelly, Burke and Hernandez",101.86,45.24,8
28,Hospital,Clothing,Shelton Ltd,184.53,28.54,14
29,Statement,Groceries,Webb Ltd,116.73,45.75,43
30,Understand,Clothing,Schneider-Vega,54.83,159.03,8
31,Improve,Clothing,Peterson PLC,132.17,71.06,20
